20180919-130007,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[-0.8889703   0.86240166  0.40018964  0.9898843   0.9757069  -0.7268158
 -0.98984706  0.88206935  0.9981548   0.5517496   0.9998404 ]",0.555131964809384
20180919-130009,"[0.00410557 0.00415445 0.01016618 0.09320626 0.32199413 0.00889541
 0.00361681 0.00537634 0.00474096 0.00522972 0.0072825  0.00982405
 0.00635386 0.0083089  0.00674487 0.00342131 0.01094819 0.00063539
 0.00723363 0.00581623 0.00860215 0.00356794 0.00806452 0.00684262]","[-0.8560731   0.8841632   0.78571314  0.99772626  0.9833086  -0.87280315
 -0.94658506  0.6295151   0.9915489   0.5482152   0.9999389 ]",0.6434506353861191
20180919-130013,"[0.00518084 0.00244379 0.01285435 0.09682307 0.33084066 0.01446725
 0.00327468 0.00498534 0.00469208 0.0097263  0.0040567  0.007087
 0.00762463 0.00694037 0.05786901 0.00718475 0.01583578 0.00102639
 0.00361681 0.00273705 0.00542522 0.0072825  0.02424242 0.00723363]","[ 0.8170781  -0.59689075 -0.3647426   0.3761987   0.99558705 -0.15209927
 -0.993051   -0.09225029  0.93995076  0.99148786  0.9210953 ]",0.6922776148582597
20180919-130015,"[0.00464321 0.00395894 0.01788856 0.09569892 0.32375367 0.01197458
 0.00322581 0.01397849 0.00620723 0.00508309 0.00782014 0.0097263
 0.11290323 0.00581623 0.00664712 0.00557185 0.02869013 0.00151515
 0.0040567  0.00342131 0.00317693 0.00542522 0.0044477  0.00664712]","[ 0.9270401  -0.63506186 -0.3013097   0.47285494  0.9983461  -0.1354467
 -0.98765135  0.00427303  0.9436512   0.99016297  0.96930397]",0.7796187683284453
20180919-130017,"[0.00298143 0.00410557 0.01788856 0.1        0.32707722 0.01373412
 0.00127077 0.00293255 0.00503421 0.00816227 0.00562072 0.0101173
 0.2259042  0.00596285 0.00694037 0.0056696  0.01036168 0.0028348
 0.00249267 0.00190616 0.00664712 0.0068915  0.00307918 0.00200391]","[ 0.82998425 -0.45757923 -0.59589624  0.30679148  0.99781847 -0.46915594
 -0.99550897 -0.0161272   0.97251076  0.98709583  0.9790576 ]",0.7851417399804494
20180919-130019,"[0.00576735 0.00610948 0.0184262  0.09589443 0.32673509 0.01378299
 0.00327468 0.00483871 0.00591398 0.00982405 0.00645161 0.01055718
 0.22375367 0.00669599 0.00650049 0.00430108 0.00757576 0.00244379
 0.00327468 0.00239492 0.00596285 0.00591398 0.00278592 0.00596285]","[-0.9279482   0.9121276   0.78357494  0.9982804   0.9919597  -0.5424833
 -0.9708288   0.5313411   0.9965588   0.34281275  0.9999554 ]",0.7469696969696968
20180919-130021,"[0.00268817 0.00503421 0.01124145 0.09726295 0.32605083 0.01192571
 0.0042522  0.00474096 0.00493646 0.0044477  0.01476051 0.01070381
 0.20156403 0.00860215 0.00366569 0.00410557 0.00449658 0.00151515
 0.00366569 0.00259042 0.00400782 0.00464321 0.00400782 0.00606061]","[-0.9133286   0.86059254  0.3629721   0.99060184  0.9709865  -0.7380918
 -0.98958635  0.9145087   0.999007    0.5135604   0.99982953]",0.5787878787878785
20180919-130025,"[0.00391007 0.00337243 0.01725318 0.09897361 0.32795699 0.01500489
 0.00127077 0.00234604 0.00518084 0.00542522 0.0129521  0.01783969
 0.00449658 0.0056696  0.0042522  0.0056696  0.01202346 0.00478983
 0.00298143 0.00131965 0.00268817 0.00190616 0.00948192 0.01202346]","[-0.5404563   0.63386446  0.93646234  0.99920404  0.9054612  -0.5227729
 -0.6798162  -0.9976219   0.9149168   0.7892517   0.99957466]",0.5727272727272725
20180919-130029,"[0.00361681 0.00229717 0.01217009 0.09623656 0.3228739  0.01334311
 0.00654936 0.00640274 0.00542522 0.00816227 0.00928641 0.0097263
 0.00718475 0.01329423 0.00669599 0.01173021 0.00845552 0.00156403
 0.00210166 0.00371457 0.00518084 0.00669599 0.00474096 0.00527859]","[-0.8903845   0.83810705  0.6710715   0.9945459   0.97576785 -0.77404773
 -0.97847444  0.81091404  0.99551713  0.570625    0.9997661 ]",0.5983382209188659
20180919-130032,"[0.00195503 0.00171065 0.01348974 0.09824047 0.29648094 0.01490714
 0.00464321 0.00615836 0.00620723 0.0085044  0.00430108 0.00742913
 0.00752688 0.0072825  0.00811339 0.00478983 0.07302053 0.00073314
 0.00391007 0.00171065 0.00703812 0.00674487 0.00469208 0.00874878]","[-0.92834175  0.7796292  -0.31146428  0.9783949   0.9740997  -0.83393764
 -0.9910499   0.9643591   0.99968517  0.18381216  0.99979335]",0.5097751710654934
20180919-130039,"[0.00982405 0.00190616 0.01280547 0.10107527 0.2826002  0.01260997
 0.00342131 0.00312805 0.00635386 0.00576735 0.00610948 0.00948192
 0.00434995 0.00679374 0.0040567  0.00532747 0.00532747 0.00474096
 0.00356794 0.00200391 0.0054741  0.00434995 0.00337243 0.00532747]","[-0.976772    0.17695658 -0.99942154  0.9752302   0.720476    0.27127707
 -0.9954745   0.99807817  0.99994457  0.87652344 -0.9945749 ]",0.577663734115347
