20180928-150023,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[ 0.53694665 -0.99412334 -0.97884643 -0.1328804   0.99991125  0.9658705
 -0.9951937  -0.9967154   0.9999991  -0.9892092  -0.9662735 ]",1.1420821114369497
20180928-150027,"[0.01163245 0.01001955 0.02673509 0.52214076 0.01075269 0.01490714
 0.00366569 0.00659824 0.00478983 0.01006843 0.01021505 0.01231672
 0.0056696  0.00977517 0.0030303  0.01045943 0.41867058 0.00307918
 0.00395894 0.00366569 0.01045943 0.01163245 0.00879765 0.00904203]","[ 0.64025366 -0.9983548  -0.98369133 -0.24829899  0.99998975  0.9240932
 -0.9968952  -0.996552    0.99999917 -0.9910562  -0.97127724]",1.1551319648093838
20180928-150030,"[0.0099218  0.00801564 0.02619746 0.5214565  0.01055718 0.01221896
 0.00630499 0.01016618 0.00606061 0.01006843 0.007087   0.0155914
 0.00957967 0.00650049 0.00459433 0.01285435 0.42238514 0.00210166
 0.01246334 0.00733138 0.00483871 0.00997067 0.00977517 0.00909091]","[ 0.78256637 -0.9980965  -0.9922858  -0.4557406   0.9999835   0.9153505
 -0.9979644  -0.99780875  0.99999934 -0.9827698  -0.95472366]",1.1390029325513196
20180928-150033,"[0.00928641 0.0083089  0.02350929 0.53269795 0.01383187 0.01480938
 0.01329423 0.00938416 0.00439883 0.00933529 0.00542522 0.00948192
 0.00576735 0.007087   0.00410557 0.00601173 0.41031281 0.00068426
 0.01221896 0.00801564 0.00606061 0.00498534 0.00904203 0.01094819]","[ 0.18975617 -0.9996742  -0.9874292  -0.82573026  0.99997795  0.9778836
 -0.99854577 -0.9715939   0.9999977  -0.99553424 -0.9801792 ]",1.1523460410557178
20180928-150035,"[0.00630499 0.0085044  0.0228739  0.52937439 0.00899316 0.01265885
 0.00552297 0.00342131 0.00953079 0.01280547 0.00581623 0.0230694
 0.00493646 0.00796676 0.0115347  0.01920821 0.41852395 0.00249267
 0.00694037 0.00415445 0.00684262 0.00571848 0.0068915  0.00826002]","[ 0.54030997 -0.99880534 -0.98177123 -0.1766151   0.99998784  0.9588512
 -0.99370897 -0.9948175   0.99999887 -0.99190605 -0.9733831 ]",1.1293743890518082
20180928-150040,"[0.00801564 0.00723363 0.02321603 0.535826   0.00615836 0.00967742
 0.0054741  0.00713587 0.00503421 0.0127566  0.00615836 0.00967742
 0.00503421 0.00635386 0.00454545 0.00215054 0.41500489 0.00332356
 0.00650049 0.00777126 0.01124145 0.00806452 0.0099218  0.01309873]","[ 0.1892059  -0.9993255  -0.985774   -0.3316046   0.9999706   0.96472967
 -0.99743813 -0.98840135  0.9999987  -0.97258896 -0.95589805]",1.1225317693059627
20180928-150043,"[0.01094819 0.00606061 0.02223851 0.52316716 0.00909091 0.0170088
 0.00493646 0.00557185 0.01021505 0.00752688 0.00723363 0.01104594
 0.0072825  0.00943304 0.00469208 0.00371457 0.41612903 0.00249267
 0.00576735 0.00459433 0.00650049 0.00826002 0.00821114 0.01041056]","[ 0.79755193 -0.9950374  -0.94025093  0.5714048   0.9999767   0.9317409
 -0.99067605 -0.9946699   0.99999964 -0.9909667  -0.9628448 ]",1.1368523949169105
20180928-150046,"[0.00923754 0.0157869  0.0244868  0.52805474 0.00821114 0.01124145
 0.0030303  0.00826002 0.01930596 0.00400782 0.00791789 0.01045943
 0.0101173  0.00865103 0.0028348  0.00606061 0.41544477 0.00166178
 0.00694037 0.00620723 0.0068915  0.00694037 0.00571848 0.00938416]","[ 0.11529209 -0.99939305 -0.99174964 -0.6224069   0.9999795   0.9723288
 -0.9986695  -0.9884674   0.9999983  -0.98675203 -0.9635141 ]",1.1188172043010751
20180928-150050,"[0.00630499 0.00801564 0.02101662 0.51847507 0.00918866 0.01036168
 0.00654936 0.00674487 0.01094819 0.00684262 0.00640274 0.01397849
 0.00532747 0.00938416 0.00513196 0.00899316 0.41339198 0.00146628
 0.00483871 0.0056696  0.00772239 0.00840665 0.0129521  0.01070381]","[ 0.59949845 -0.997467   -0.990346    0.46666583  0.9998834   0.9054647
 -0.997897   -0.99053174  0.9999998  -0.8512997  -0.9470481 ]",1.1316715542521996
20180928-150053,"[0.00532747 0.00733138 0.02346041 0.53274682 0.0113392  0.01593353
 0.00645161 0.0058651  0.00664712 0.00821114 0.00630499 0.01231672
 0.00674487 0.00713587 0.00454545 0.00762463 0.41906158 0.00234604
 0.00557185 0.00508309 0.00747801 0.00723363 0.00811339 0.00879765]","[ 0.53965414 -0.9995439  -0.9886377  -0.6683142   0.9999791   0.93286616
 -0.9988932  -0.9847275   0.99999875 -0.98951304 -0.9766378 ]",1.1424242424242417
